2026-05-26T17:08:00.173283+00:00 [24/663] 乳房异常发育症 | key=乳房异常发育症 | ValueError: Disease_id not found from SymMap search keys=['乳房异常发育症', '乳疬']
2026-05-26T17:08:05.686994+00:00 [25/663] 乳房结核 | key=乳房结核 | ValueError: Disease_id not found from SymMap search keys=['乳房结核', '乳痨']
2026-05-26T17:08:15.936175+00:00 [26/663] 乳腺增生症 | key=乳腺增生症 | ValueError: Disease_id not found from SymMap search keys=['乳腺增生症', '乳癖', '乳痞', '乳腺小叶增生', '乳腺腺病']
2026-05-26T17:08:28.591397+00:00 [27/663] 乳腺癌 | key=乳腺癌 | ValueError: Disease_id not found from SymMap search keys=['乳腺癌', '乳岩', '乳腺恶性肿瘤', '乳腺恶性病变', '乳腺腺癌', '乳腺肉瘤']
2026-05-26T17:08:33.863860+00:00 [28/663] 乳腺纤维瘤 | key=乳腺纤维瘤 | ValueError: Disease_id not found from SymMap search keys=['乳腺纤维瘤', '乳核']
2026-05-26T17:08:45.849157+00:00 [30/663] 产后便秘 | key=产后便秘 | ValueError: Disease_id not found from SymMap search keys=['产后便秘', '产后大便难']
2026-05-26T17:08:53.097246+00:00 [31/663] 产后多汗 | key=产后多汗 | ValueError: Disease_id not found from SymMap search keys=['产后多汗', '产后汗证', '产后自汗']
2026-05-26T17:08:56.892377+00:00 [32/663] 产后尿潴留 | key=产后尿潴留 | ValueError: Disease_id not found from SymMap search keys=['产后尿潴留']
2026-05-26T17:09:00.350699+00:00 [33/663] 产后尿频 | key=产后尿频 | ValueError: Disease_id not found from SymMap search keys=['产后尿频']
2026-05-26T17:09:07.393102+00:00 [34/663] 产后抑郁症 | key=产后抑郁症 | ValueError: Disease_id not found from SymMap search keys=['产后抑郁症', '产后情志异常', '产褥期抑郁症']
2026-05-26T17:09:10.836250+00:00 [35/663] 产后腹痛 | key=产后腹痛 | ValueError: Disease_id not found from SymMap search keys=['产后腹痛']
2026-05-26T17:09:16.377714+00:00 [36/663] 产后身痛 | key=产后身痛 | ValueError: Disease_id not found from SymMap search keys=['产后身痛', '产后痹证']
2026-05-26T17:09:21.565007+00:00 [37/663] 产褥感染 | key=产褥感染 | ValueError: Disease_id not found from SymMap search keys=['产褥感染', '产后感染']
2026-05-26T17:09:28.536871+00:00 [38/663] 人工流产术后出血 | key=人工流产术后出血 | ValueError: Disease_id not found from SymMap search keys=['人工流产术后出血', 'Post-Abortion Bleeding', '人流术后出血']
2026-05-26T17:09:35.309477+00:00 [39/663] 代偿性月经 | key=代偿性月经 | ValueError: Disease_id not found from SymMap search keys=['代偿性月经', '经行吐衄', '倒经 icarious Menstruation (代偿性月经)']
2026-05-26T17:09:53.765001+00:00 [40/663] 代指 | key=代指 | ValueError: Disease_id not found from SymMap search keys=['代指', '甲沟炎', '指甲沟炎', '甲周炎', '甲床炎', '嵌甲炎', '急性甲沟炎', '化脓性甲沟炎', '细菌性甲沟炎', '真菌性甲沟炎']
2026-05-26T17:10:00.988769+00:00 [41/663] 代谢综合征 | key=代谢综合征 | ValueError: Disease_id not found from SymMap search keys=['代谢综合征', 'Metabolic Syndrome', 'MS']
2026-05-26T17:10:06.109605+00:00 [42/663] 传染性单核细胞增多症 | key=传染性单核细胞增多症 | ValueError: Disease_id not found from SymMap search keys=['传染性单核细胞增多症', 'EB 病毒性单核细胞增多症']
2026-05-26T17:10:20.463863+00:00 [44/663] 体位性低血压 | key=体位性低血压 | ValueError: Disease_id not found from SymMap search keys=['体位性低血压', 'Orthostatic Hypotension', 'OH']
2026-05-26T17:10:28.988811+00:00 [45/663] 便秘 | key=便秘 | ValueError: Disease_id not found from SymMap search keys=['便秘', 'Constipation', '功能性便秘', '慢传输型便秘']
2026-05-26T17:10:34.208700+00:00 [46/663] 便血 | key=便血 | ValueError: Disease_id not found from SymMap search keys=['便血', 'Hematochezia']
2026-05-26T17:10:39.826073+00:00 [47/663] 儿童反复呼吸道感染 | key=儿童反复呼吸道感染 | ValueError: Disease_id not found from SymMap search keys=['儿童反复呼吸道感染', '小儿反复呼吸道感染']
2026-05-26T17:10:43.319747+00:00 [48/663] 儿童哮喘 | key=儿童哮喘 | ValueError: Disease_id not found from SymMap search keys=['儿童哮喘']
2026-05-26T17:10:48.238762+00:00 [49/663] 儿童急性扁桃体炎 | key=儿童急性扁桃体炎 | ValueError: Disease_id not found from SymMap search keys=['儿童急性扁桃体炎', '儿童乳蛾']
2026-05-26T17:11:00.732174+00:00 [51/663] 儿童肺炎 | key=儿童肺炎 | ValueError: Disease_id not found from SymMap search keys=['儿童肺炎', '大叶性肺炎']
2026-05-26T17:11:05.579382+00:00 [52/663] 儿童腹痛 | key=儿童腹痛 | ValueError: Disease_id not found from SymMap search keys=['儿童腹痛', '以非特异性肠系膜淋巴结炎／功能性腹痛为核心']
2026-05-26T17:11:20.275850+00:00 [54/663] 先兆流产 | key=先兆流产 | ValueError: Disease_id not found from SymMap search keys=['先兆流产', '胎动不安', '妊娠先兆流产', '早期流产先兆']
2026-05-26T17:11:25.939679+00:00 [55/663] 先天性耳前瘘管 | key=先天性耳前瘘管 | ValueError: Disease_id not found from SymMap search keys=['先天性耳前瘘管', '耳痿']
2026-05-26T17:11:38.221577+00:00 [56/663] 先天性聋 | key=先天性聋 | ValueError: Disease_id not found from SymMap search keys=['先天性聋', 'sensorineural hearing loss', '传染病源性聋', '全身系统性疾病引起的耳聋', '耳毒性聋', '自身免疫性聋 主病名： 先天性聋']
2026-05-26T17:11:43.334212+00:00 [57/663] 先天性青光眼 | key=先天性青光眼 | ValueError: Disease_id not found from SymMap search keys=['先天性青光眼', 'Congenital Glaucoma']
2026-05-26T17:11:48.844179+00:00 [58/663] 克罗恩病 | key=克罗恩病 | HTTPError: 502 Server Error: Bad Gateway for url: http://www.symmap.org/search/
2026-05-26T17:11:59.817937+00:00 [60/663] 内伤发热 | key=内伤发热 | ValueError: Disease_id not found from SymMap search keys=['内伤发热', 'Internal Injury Fever']
2026-05-26T17:12:03.249352+00:00 [61/663] 内痔 | key=内痔 | ValueError: Disease_id not found from SymMap search keys=['内痔']
2026-05-26T17:12:21.743206+00:00 [63/663] 冠状动脉粥样硬化性心脏病 | key=冠状动脉粥样硬化性心脏病 | ValueError: Disease_id not found from SymMap search keys=['冠状动脉粥样硬化性心脏病', 'Coronary Atherosclerotic Heart Disease', '冠心病', '缺血性心脏病', 'CHD', '冠状动脉硬化', '冠状动脉粥样硬化']
2026-05-26T17:12:33.545716+00:00 [64/663] 冻疮 | key=冻疮 | ValueError: Disease_id not found from SymMap search keys=['冻疮', 'pernio', '耳廓冻疮', '足部冻疮', '面部冻疮', '手部冻疮']
2026-05-26T17:12:49.796206+00:00 [66/663] 前列腺癌 | key=前列腺癌 | ValueError: Disease_id not found from SymMap search keys=['前列腺癌']
2026-05-26T17:13:00.293556+00:00 [67/663] 前庭大腺炎 | key=前庭大腺炎 | ValueError: Disease_id not found from SymMap search keys=['前庭大腺炎', '阴肿', '阴疮', '阴痛', '前庭大腺脓肿']
2026-05-26T17:13:07.110100+00:00 [68/663] 前庭神经炎 | key=前庭神经炎 | ValueError: Disease_id not found from SymMap search keys=['前庭神经炎', '美尼尔氏综合征', '美尼尔氏病 主病名： 前庭神经炎']
2026-05-26T17:13:12.367000+00:00 [69/663] 前置胎盘出血 | key=前置胎盘出血 | ValueError: Disease_id not found from SymMap search keys=['前置胎盘出血', '胎漏']
2026-05-26T17:13:30.016443+00:00 [71/663] 功能失调性子宫出血 | key=功能失调性子宫出血 | ValueError: Disease_id not found from SymMap search keys=['功能失调性子宫出血', '崩漏', '无排卵性异常子宫出血', '功能性子宫出血', '异常子宫出血']
2026-05-26T17:13:45.790591+00:00 [73/663] 动脉粥样硬化 | key=动脉粥样硬化 | HTTPError: 502 Server Error: Bad Gateway for url: http://www.symmap.org/related_components/
2026-05-26T17:13:59.573557+00:00 [75/663] 化脓性中耳乳突炎并发迷路炎 | key=化脓性中耳乳突炎并发迷路炎 | ValueError: Disease_id not found from SymMap search keys=['化脓性中耳乳突炎并发迷路炎', 'otogenic labyrinthitis', '脓耳眩晕']
2026-05-26T17:14:04.271031+00:00 [76/663] 化脓性关节炎 | key=化脓性关节炎 | ValueError: Disease_id not found from SymMap search keys=['化脓性关节炎', 'Suppurative Arthritis']
2026-05-26T17:14:09.561090+00:00 [77/663] 化脓性腮腺炎 | key=化脓性腮腺炎 | ValueError: Disease_id not found from SymMap search keys=['化脓性腮腺炎', '发颐']
2026-05-26T17:14:14.734634+00:00 [78/663] 化脓性骨髓炎 | key=化脓性骨髓炎 | ValueError: Disease_id not found from SymMap search keys=['化脓性骨髓炎', '附骨疽']
2026-05-26T17:14:20.259078+00:00 [79/663] 化脓性髋关节炎 | key=化脓性髋关节炎 | ValueError: Disease_id not found from SymMap search keys=['化脓性髋关节炎', '环跳疽']
2026-05-26T17:14:34.572676+00:00 [80/663] 单纯性甲状腺肿 | key=单纯性甲状腺肿 | ValueError: Disease_id not found from SymMap search keys=['单纯性甲状腺肿', '气瘿', '大脖子病', '地方性甲状腺肿', '非毒性甲状腺肿', '散发性甲状腺肿', '甲状腺肿', '缺碘性甲状腺肿']
2026-05-26T17:14:44.105542+00:00 [81/663] 单纯疱疹 | key=单纯疱疹 | ValueError: Disease_id not found from SymMap search keys=['单纯疱疹', 'herpes simplex', '热疮', '单纯疱疹病毒感染', 'HSV感染（单纯疱疹病毒）']
2026-05-26T17:14:51.474590+00:00 [82/663] 单纯疱疹病毒性角膜炎 | key=单纯疱疹病毒性角膜炎 | ValueError: Disease_id not found from SymMap search keys=['单纯疱疹病毒性角膜炎', 'Herpes Simplex Keratitis', 'HSK']
2026-05-26T17:15:01.976738+00:00 [83/663] 单纯糠疹 | key=单纯糠疹 | ValueError: Disease_id not found from SymMap search keys=['单纯糠疹', 'pityriasis simplex', '白色糠疹', '吹花癣', '渗出性慢性单纯性糠疹']
2026-05-26T17:15:09.581907+00:00 [84/663] 卵巢恶性肿瘤 | key=卵巢恶性肿瘤 | ValueError: Disease_id not found from SymMap search keys=['卵巢恶性肿瘤', '原发性卵巢恶性肿瘤', '卵巢癌']
2026-05-26T17:15:32.000419+00:00 [87/663] 原发性开角型青光眼 | key=原发性开角型青光眼 | ValueError: Disease_id not found from SymMap search keys=['原发性开角型青光眼', 'Primary Open-Angle Glaucoma', '慢性单纯性青光眼']
2026-05-26T17:15:37.431126+00:00 [88/663] 原发性皮肤 T 细胞淋巴瘤 | key=原发性皮肤 T 细胞淋巴瘤 | ValueError: Disease_id not found from SymMap search keys=['原发性皮肤 T 细胞淋巴瘤', '蕈样恶疮']
2026-05-26T17:15:55.433235+00:00 [91/663] 原发性闭角型青光眼 | key=原发性闭角型青光眼 | ValueError: Disease_id not found from SymMap search keys=['原发性闭角型青光眼', 'Primary Angle-Closure Glaucoma']
